mode,scope,label,n_obs_labeled,n_label_classes,k,ari_raw,nmi_raw,homogeneity_raw,completeness_raw,v_measure_raw,label_asw_raw,label_asw_scaled_raw,ari_standardized,nmi_standardized,homogeneity_standardized,completeness_standardized,v_measure_standardized,label_asw_standardized,label_asw_scaled_standardized,ari_delta_standardized_minus_raw,nmi_delta_standardized_minus_raw,homogeneity_delta_standardized_minus_raw,completeness_delta_standardized_minus_raw,v_measure_delta_standardized_minus_raw,label_asw_delta_standardized_minus_raw,label_asw_scaled_delta_standardized_minus_raw
joint,combined,Y,7118,14,6,0.2401206617986274,0.3299625856487388,0.2907552407571818,0.3813919838248655,0.3299625856487389,-0.0092484056949615,0.4953757971525192,0.2396299679038629,0.3300277256382594,0.2908259144740951,0.3814444397337054,0.3300277256382594,-0.0090166302397847,0.4954916848801076,-0.000490693894764499,6.513998952056843e-05,7.067371691332758e-05,5.2455908839899035e-05,6.513998952045741e-05,0.00023177545517679907,0.00011588772758835963
joint,combined,Combined_Clusters_annotation,7118,16,6,0.2383178044143631,0.3717884369235078,0.3331938014715632,0.4204954288073733,0.3717884369235078,0.0060568726621568,0.5030284363310784,0.2401067973373979,0.3741551644921525,0.3353304851835917,0.423147305574112,0.3741551644921525,0.0076382127590477,0.5038191063795239,0.0017889929230348045,0.0023667275686447,0.00213668371202852,0.0026518767667387255,0.0023667275686447,0.0015813400968908995,0.0007906700484454632
joint,combined,Combined_Clusters,7118,16,6,0.2383178044143631,0.3717884369235077,0.3331938014715631,0.4204954288073733,0.3717884369235078,0.0060568726621568,0.5030284363310784,0.2401067973373979,0.3741551644921525,0.3353304851835917,0.423147305574112,0.3741551644921525,0.0076382127590477,0.5038191063795239,0.0017889929230348045,0.002366727568644811,0.002136683712028631,0.0026518767667387255,0.0023667275686447,0.0015813400968908995,0.0007906700484454632
joint,combined,RNA_Clusters,7118,13,6,0.2908522555535772,0.3992126675171757,0.3541008181938244,0.4574970191263663,0.3992126675171756,0.0287821721285581,0.5143910860642791,0.2872594000177678,0.3974091420905171,0.3525173229664731,0.4554030961097101,0.397409142090517,0.0280051548033952,0.5140025774016976,-0.0035928555358094028,-0.0018035254266586254,-0.0015834952273512948,-0.0020939230166562295,-0.0018035254266586254,-0.0007770173251629015,-0.0003885086625814438
joint,combined,ATAC_Clusters,7118,13,6,0.24957431622596,0.3594780129665065,0.3315172386367783,0.3925897558509824,0.3594780129665065,0.02574940957129,0.512874704785645,0.2513891659683688,0.3633739038826497,0.3351262896651899,0.3968217993370791,0.3633739038826498,0.0270990096032619,0.513549504801631,0.0018148497424088084,0.0038958909161431743,0.003609051028411636,0.004232043486096737,0.0038958909161432853,0.0013496000319719002,0.0006748000159859657
joint,combined,Y,7118,14,7,0.2504857985683469,0.3479501767368724,0.3196997033554565,0.3816773449535785,0.3479501767368723,-0.0092484056949615,0.4953757971525192,0.2440516390444246,0.3442892507393985,0.3155015637681703,0.3788578293117706,0.3442892507393985,-0.0090166302397847,0.4954916848801076,-0.006434159523922317,-0.0036609259974739183,-0.004198139587286209,-0.002819515641807935,-0.0036609259974738073,0.00023177545517679907,0.00011588772758835963
joint,combined,Combined_Clusters_annotation,7118,16,7,0.2372029220979711,0.3818390871043901,0.3571367128517521,0.4102126061388146,0.3818390871043902,0.0060568726621568,0.5030284363310784,0.2469330231552187,0.3900914796389306,0.3638725294813156,0.420382256008158,0.3900914796389306,0.0076382127590477,0.5038191063795239,0.009730101057247614,0.00825239253454052,0.006735816629563518,0.010169649869343378,0.00825239253454041,0.0015813400968908995,0.0007906700484454632
joint,combined,Combined_Clusters,7118,16,7,0.2372029220979711,0.3818390871043902,0.3571367128517521,0.4102126061388147,0.3818390871043901,0.0060568726621568,0.5030284363310784,0.2469330231552187,0.3900914796389306,0.3638725294813156,0.420382256008158,0.3900914796389306,0.0076382127590477,0.5038191063795239,0.009730101057247614,0.00825239253454041,0.006735816629563518,0.010169649869343267,0.00825239253454052,0.0015813400968908995,0.0007906700484454632
joint,combined,RNA_Clusters,7118,13,7,0.279127374491095,0.4057043886270273,0.3753597936847993,0.4413866872157252,0.4057043886270273,0.0287821721285581,0.5143910860642791,0.2984741513997567,0.4143115728437054,0.3823037084318254,0.4521687980270534,0.4143115728437053,0.0280051548033952,0.5140025774016976,0.01934677690866171,0.00860718421667811,0.006943914747026048,0.010782110811328183,0.008607184216677999,-0.0007770173251629015,-0.0003885086625814438
joint,combined,ATAC_Clusters,7118,13,7,0.2358948729116215,0.3632742853446726,0.3501611100603118,0.3774078221165036,0.3632742853446726,0.02574940957129,0.512874704785645,0.2399057565002287,0.3786711259866697,0.3639855700079867,0.3945915262009154,0.3786711259866697,0.0270990096032619,0.513549504801631,0.004010883588607184,0.01539684064199709,0.013824459947674894,0.017183704084411833,0.01539684064199709,0.0013496000319719002,0.0006748000159859657
