mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_rows_in_full_order
independent,s3,Y.l1,2662,9,5,0.7145828590598508,0.6554438502712244,0.6182664468854706,0.697378387999704,0.6554438502712244,0.1112280115485191,0.5556140057742596,"5204,5205,5206,5207,5208"
independent,s3,Y,2662,11,5,0.6433036806914414,0.6096856491594866,0.5378702238278713,0.7036334732227599,0.6096856491594866,0.1049333736300468,0.5524666868150234,"5204,5205,5206,5207,5208"
independent,s1,RegionLoupe,2384,9,6,0.8131434786509708,0.7614759473960196,0.7405426606084766,0.7836271240879221,0.7614759473960195,0.110919289290905,0.5554596446454525,"0,1,2,3,4"
independent,s1,annotations,2384,11,6,0.719212022366948,0.7123365370128977,0.6504751528554117,0.7872007799324048,0.7123365370128977,0.112728551030159,0.5563642755150795,"0,1,2,3,4"
independent,s1,celltype,2384,11,6,0.719212022366948,0.7123365370128977,0.6504751528554117,0.7872007799324048,0.7123365370128977,0.112728551030159,0.5563642755150795,"0,1,2,3,4"
independent,s1,Y.l1,2384,9,6,0.8131434786509708,0.7614759473960196,0.7405426606084766,0.7836271240879221,0.7614759473960195,0.110919289290905,0.5554596446454525,"0,1,2,3,4"
independent,s1,Y,2384,11,6,0.719212022366948,0.7123365370128976,0.6504751528554116,0.7872007799324047,0.7123365370128975,0.112728551030159,0.5563642755150795,"0,1,2,3,4"
independent,s2,RegionLoupe,2820,9,6,0.5462254444474703,0.6452770969385685,0.6713291239808671,0.6211715180100936,0.6452770969385684,0.1206285953521728,0.5603142976760864,"2384,2385,2386,2387,2388"
independent,s2,annotations,2820,11,6,0.4700697877511721,0.608034950453381,0.59226357505514,0.6246692561119108,0.608034950453381,0.1083085760474205,0.5541542880237103,"2384,2385,2386,2387,2388"
independent,s2,Y.l1,2820,9,6,0.5462254444474703,0.6452770969385685,0.6713291239808671,0.6211715180100936,0.6452770969385684,0.1206285953521728,0.5603142976760864,"2384,2385,2386,2387,2388"
independent,s2,Y,2820,11,6,0.4700697877511721,0.6080349504533811,0.5922635750551402,0.6246692561119108,0.608034950453381,0.1083085760474205,0.5541542880237103,"2384,2385,2386,2387,2388"
independent,s3,RegionLoupe,2662,9,6,0.540672841627127,0.6081381068539548,0.6113086470685234,0.6050002848354135,0.6081381068539546,0.1112280115485191,0.5556140057742596,"5204,5205,5206,5207,5208"
independent,s3,annotations,2662,11,6,0.4504280879738621,0.5692441283168919,0.5325910359265141,0.61131503234797,0.5692441283168919,0.1049333736300468,0.5524666868150234,"5204,5205,5206,5207,5208"
independent,s3,celltype,2662,11,6,0.4504280879738621,0.5692441283168919,0.5325910359265141,0.61131503234797,0.5692441283168919,0.1049333736300468,0.5524666868150234,"5204,5205,5206,5207,5208"
