sample_order,section,obs_name,section_n_total,section_n_sampled,sampling_seed
287,Mouse_Thymus1,17_18,4697,2635,0
288,Mouse_Thymus1,17_19,4697,2635,0
289,Mouse_Thymus1,17_2,4697,2635,0
290,Mouse_Thymus1,17_21,4697,2635,0
291,Mouse_Thymus1,17_23,4697,2635,0
292,Mouse_Thymus1,17_25,4697,2635,0
293,Mouse_Thymus1,17_26,4697,2635,0
294,Mouse_Thymus1,17_27,4697,2635,0
295,Mouse_Thymus1,17_28,4697,2635,0
296,Mouse_Thymus1,17_3,4697,2635,0
297,Mouse_Thymus1,17_30,4697,2635,0
298,Mouse_Thymus1,17_31,4697,2635,0
299,Mouse_Thymus1,17_33,4697,2635,0
300,Mouse_Thymus1,17_36,4697,2635,0
301,Mouse_Thymus1,17_39,4697,2635,0
302,Mouse_Thymus1,17_4,4697,2635,0
303,Mouse_Thymus1,17_40,4697,2635,0
304,Mouse_Thymus1,17_41,4697,2635,0
305,Mouse_Thymus1,17_42,4697,2635,0
306,Mouse_Thymus1,17_43,4697,2635,0
307,Mouse_Thymus1,17_47,4697,2635,0
308,Mouse_Thymus1,17_48,4697,2635,0
309,Mouse_Thymus1,17_5,4697,2635,0
310,Mouse_Thymus1,17_51,4697,2635,0
311,Mouse_Thymus1,17_55,4697,2635,0
312,Mouse_Thymus1,17_57,4697,2635,0
313,Mouse_Thymus1,17_59,4697,2635,0
314,Mouse_Thymus1,17_63,4697,2635,0
315,Mouse_Thymus1,17_65,4697,2635,0
316,Mouse_Thymus1,17_69,4697,2635,0
317,Mouse_Thymus1,17_7,4697,2635,0
318,Mouse_Thymus1,17_70,4697,2635,0
319,Mouse_Thymus1,17_72,4697,2635,0
320,Mouse_Thymus1,17_74,4697,2635,0
321,Mouse_Thymus1,17_78,4697,2635,0
322,Mouse_Thymus1,17_79,4697,2635,0
323,Mouse_Thymus1,17_8,4697,2635,0
324,Mouse_Thymus1,17_80,4697,2635,0
325,Mouse_Thymus1,17_9,4697,2635,0
326,Mouse_Thymus1,18_10,4697,2635,0
327,Mouse_Thymus1,18_12,4697,2635,0
328,Mouse_Thymus1,18_16,4697,2635,0
329,Mouse_Thymus1,18_17,4697,2635,0
330,Mouse_Thymus1,18_19,4697,2635,0
331,Mouse_Thymus1,18_21,4697,2635,0
332,Mouse_Thymus1,18_23,4697,2635,0
333,Mouse_Thymus1,18_24,4697,2635,0
