mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_rows_in_full_order
joint,combined,Y,7866,12,8,0.251144328675035,0.4512385801244861,0.4399934433322848,0.4630735879414653,0.4512385801244861,0.0027537632267922,0.5013768816133961,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,9,0.3905552895041195,0.5893827646839462,0.6721439590003675,0.5247679964571775,0.5893827646839462,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,annotations,7866,11,9,0.3703171290248978,0.5753528870878855,0.6087849522962997,0.5454015860250317,0.5753528870878853,0.0930537730455398,0.5465268865227699,"0,1,2,3,4"
joint,combined,celltype,5046,11,9,0.3741932487524221,0.5746733858067986,0.5997882629866215,0.5515772440604049,0.5746733858067985,0.090527594089508,0.545263797044754,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,9,0.3905552895041195,0.5893827646839462,0.6721439590003675,0.5247679964571775,0.5893827646839462,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,Y,7866,12,9,0.2413251908509447,0.4396243543075959,0.445890140347211,0.4335322255061286,0.4396243543075959,0.0027537632267922,0.5013768816133961,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,10,0.3715200567455814,0.5728777286961679,0.6691068240104148,0.5008472592432802,0.5728777286961679,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,annotations,7866,11,10,0.3398565124602332,0.552541351235592,0.5979161917521827,0.5135675828578269,0.5525413512355918,0.0930537730455398,0.5465268865227699,"0,1,2,3,4"
joint,combined,celltype,5046,11,10,0.3437483318230989,0.5525269491141456,0.5896036271341432,0.5198374523784247,0.5525269491141455,0.090527594089508,0.545263797044754,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,10,0.3715200567455814,0.5728777286961679,0.6691068240104148,0.5008472592432802,0.5728777286961679,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,Y,7866,12,10,0.2276250388249301,0.423807032936853,0.4392246677651958,0.4094350705518537,0.423807032936853,0.0027537632267922,0.5013768816133961,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,11,0.3557750519455402,0.578625388202104,0.6884783066187681,0.4990046924675042,0.5786253882021039,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,annotations,7866,11,11,0.3431323072118922,0.557356419794982,0.6137525703345611,0.5104522691551691,0.5573564197949821,0.0930537730455398,0.5465268865227699,"0,1,2,3,4"
joint,combined,celltype,5046,11,11,0.3450655724638249,0.557811218816029,0.6063311393600386,0.516481277287834,0.557811218816029,0.090527594089508,0.545263797044754,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,11,0.3557750519455402,0.578625388202104,0.6884783066187681,0.4990046924675042,0.5786253882021039,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,Y,7866,12,11,0.2294780525463414,0.4312652702244729,0.4545301580619607,0.4102660191311752,0.4312652702244729,0.0027537632267922,0.5013768816133961,"0,1,2,3,4"
joint,combined,RegionLoupe,7866,9,12,0.3374571232208955,0.5758607291165226,0.6954219759053295,0.4913796933937511,0.5758607291165226,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,annotations,7866,11,12,0.3156995890735051,0.5644055008329931,0.6302554463205077,0.5110140576692316,0.5644055008329931,0.0930537730455398,0.5465268865227699,"0,1,2,3,4"
joint,combined,celltype,5046,11,12,0.3313363462595921,0.565534158946006,0.6213486557988358,0.5189205704613757,0.5655341589460061,0.090527594089508,0.545263797044754,"0,1,2,3,4"
joint,combined,Y.l1,7866,9,12,0.3374571232208955,0.5758607291165226,0.6954219759053295,0.4913796933937511,0.5758607291165226,0.1077174767851829,0.5538587383925915,"0,1,2,3,4"
joint,combined,Y,7866,12,12,0.2100264210119429,0.432097154538255,0.4615726852930961,0.406160204659532,0.432097154538255,0.0027537632267922,0.5013768816133961,"0,1,2,3,4"
independent,s1,RegionLoupe,2384,9,5,0.8284142873086187,0.7565883056548272,0.7110626384376924,0.8083422861443691,0.7565883056548273,0.1038244515657424,0.5519122257828712,"0,1,2,3,4"
independent,s1,annotations,2384,11,5,0.7467410755141426,0.7059467760588461,0.6244666773704666,0.8118805417177131,0.705946776058846,0.1058109626173973,0.5529054813086987,"0,1,2,3,4"
independent,s1,celltype,2384,11,5,0.7467410755141426,0.7059467760588461,0.6244666773704666,0.8118805417177131,0.705946776058846,0.1058109626173973,0.5529054813086987,"0,1,2,3,4"
independent,s1,Y.l1,2384,9,5,0.8284142873086187,0.7565883056548272,0.7110626384376924,0.8083422861443691,0.7565883056548273,0.1038244515657424,0.5519122257828712,"0,1,2,3,4"
independent,s1,Y,2384,11,5,0.7467410755141426,0.7059467760588463,0.6244666773704667,0.8118805417177133,0.7059467760588461,0.1058109626173973,0.5529054813086987,"0,1,2,3,4"
independent,s2,RegionLoupe,2820,9,5,0.5059501480410401,0.6273312089198779,0.606614802316508,0.6495126118628736,0.6273312089198779,0.1153385043144226,0.5576692521572113,"2384,2385,2386,2387,2388"
independent,s2,annotations,2820,11,5,0.4078529285381213,0.5851608887485625,0.5323045173511552,0.6496714756054668,0.5851608887485625,0.1015751361846923,0.5507875680923462,"2384,2385,2386,2387,2388"
independent,s2,Y.l1,2820,9,5,0.5059501480410401,0.6273312089198779,0.606614802316508,0.6495126118628736,0.6273312089198779,0.1153385043144226,0.5576692521572113,"2384,2385,2386,2387,2388"
