section,obs_name,cluster,x,y
Mouse_Thymus4,53_79,2,15486.0,15700.0
Mouse_Thymus4,67_3,3,16886.0,8100.0
Mouse_Thymus4,19_60,6,12086.0,13800.0
Mouse_Thymus4,17_29,7,11886.0,10700.0
Mouse_Thymus4,13_67,0,11486.0,14500.0
Mouse_Thymus4,27_57,3,12886.0,13500.0
Mouse_Thymus4,42_77,3,14386.0,15500.0
Mouse_Thymus4,46_99,5,14786.0,17700.0
Mouse_Thymus4,36_86,5,13786.0,16400.0
Mouse_Thymus4,43_40,2,14486.0,11800.0
Mouse_Thymus4,20_39,3,12186.0,11700.0
Mouse_Thymus4,44_17,3,14586.0,9500.0
Mouse_Thymus4,62_98,6,16386.0,17600.0
Mouse_Thymus4,38_55,5,13986.0,13300.0
Mouse_Thymus4,54_113,6,15586.0,19100.0
Mouse_Thymus4,30_49,6,13186.0,12700.0
Mouse_Thymus4,55_82,2,15686.0,16000.0
Mouse_Thymus4,21_63,3,12286.0,14100.0
Mouse_Thymus4,37_91,5,13886.0,16900.0
Mouse_Thymus4,19_52,6,12086.0,13000.0
Mouse_Thymus4,44_51,3,14586.0,12900.0
Mouse_Thymus4,15_41,3,11686.0,11900.0
Mouse_Thymus4,12_60,6,11386.0,13800.0
Mouse_Thymus4,61_7,5,16286.0,8500.0
Mouse_Thymus4,45_32,1,14686.0,11000.0
Mouse_Thymus4,22_77,6,12386.0,15500.0
Mouse_Thymus4,63_9,5,16486.0,8700.0
Mouse_Thymus4,42_24,3,14386.0,10200.0
Mouse_Thymus4,39_98,6,14086.0,17600.0
Mouse_Thymus4,19_68,7,12086.0,14600.0
Mouse_Thymus4,54_30,6,15586.0,10800.0
Mouse_Thymus4,25_77,6,12686.0,15500.0
Mouse_Thymus4,41_101,6,14286.0,17900.0
Mouse_Thymus4,11_33,2,11286.0,11100.0
Mouse_Thymus4,54_14,6,15586.0,9200.0
Mouse_Thymus4,55_20,7,15686.0,9800.0
Mouse_Thymus4,30_46,3,13186.0,12400.0
Mouse_Thymus4,50_98,3,15186.0,17600.0
Mouse_Thymus4,13_37,0,11486.0,11500.0
Mouse_Thymus4,44_67,5,14586.0,14500.0
Mouse_Thymus4,24_41,3,12586.0,11900.0
Mouse_Thymus4,21_33,6,12286.0,11100.0
Mouse_Thymus4,35_87,5,13686.0,16500.0
Mouse_Thymus4,48_43,2,14986.0,12100.0
Mouse_Thymus4,55_87,2,15686.0,16500.0
Mouse_Thymus4,41_39,1,14286.0,11700.0
Mouse_Thymus4,11_32,0,11286.0,11000.0
Mouse_Thymus4,31_85,3,13286.0,16300.0
Mouse_Thymus4,58_93,6,15986.0,17100.0
Mouse_Thymus4,60_108,2,16186.0,18600.0
Mouse_Thymus4,42_9,5,14386.0,8700.0
Mouse_Thymus4,30_42,0,13186.0,12000.0
Mouse_Thymus4,30_22,2,13186.0,10000.0
Mouse_Thymus4,39_77,5,14086.0,15500.0
Mouse_Thymus4,27_22,2,12886.0,10000.0
Mouse_Thymus4,56_37,2,15786.0,11500.0
Mouse_Thymus4,54_35,2,15586.0,11300.0
Mouse_Thymus4,5_55,6,10686.0,13300.0
Mouse_Thymus4,49_109,0,15086.0,18700.0
Mouse_Thymus4,48_91,3,14986.0,16900.0
Mouse_Thymus4,45_78,3,14686.0,15600.0
Mouse_Thymus4,8_52,5,10986.0,13000.0
Mouse_Thymus4,44_16,3,14586.0,9400.0
Mouse_Thymus4,42_16,3,14386.0,9400.0
Mouse_Thymus4,51_77,0,15286.0,15500.0
Mouse_Thymus4,30_41,5,13186.0,11900.0
Mouse_Thymus4,39_86,2,14086.0,16400.0
Mouse_Thymus4,28_92,2,12986.0,17000.0
Mouse_Thymus4,31_92,0,13286.0,17000.0
Mouse_Thymus4,39_22,3,14086.0,10000.0
Mouse_Thymus4,55_38,2,15686.0,11600.0
Mouse_Thymus4,44_77,3,14586.0,15500.0
Mouse_Thymus4,54_99,3,15586.0,17700.0
Mouse_Thymus4,41_17,3,14286.0,9500.0
Mouse_Thymus4,49_20,6,15086.0,9800.0
Mouse_Thymus4,19_70,6,12086.0,14800.0
Mouse_Thymus4,18_48,5,11986.0,12600.0
Mouse_Thymus4,51_99,3,15286.0,17700.0
Mouse_Thymus4,32_93,2,13386.0,17100.0
Mouse_Thymus4,47_23,1,14886.0,10100.0
Mouse_Thymus4,55_42,0,15686.0,12000.0
Mouse_Thymus4,20_71,2,12186.0,14900.0
Mouse_Thymus4,45_92,5,14686.0,17000.0
Mouse_Thymus4,6_36,7,10786.0,11400.0
Mouse_Thymus4,36_96,5,13786.0,17400.0
Mouse_Thymus4,6_42,6,10786.0,12000.0
Mouse_Thymus4,59_5,3,16086.0,8300.0
Mouse_Thymus4,37_20,0,13886.0,9800.0
Mouse_Thymus4,10_54,6,11186.0,13200.0
Mouse_Thymus4,26_47,3,12786.0,12500.0
Mouse_Thymus4,54_27,2,15586.0,10500.0
Mouse_Thymus4,50_102,3,15186.0,18000.0
Mouse_Thymus4,43_36,1,14486.0,11400.0
Mouse_Thymus4,20_30,2,12186.0,10800.0
Mouse_Thymus4,12_40,6,11386.0,11800.0
Mouse_Thymus4,19_30,2,12086.0,10800.0
Mouse_Thymus4,56_101,2,15786.0,17900.0
Mouse_Thymus4,30_84,0,13186.0,16200.0
Mouse_Thymus4,6_40,6,10786.0,11800.0
Mouse_Thymus4,31_89,5,13286.0,16700.0
Mouse_Thymus4,25_34,3,12686.0,11200.0
Mouse_Thymus4,51_48,6,15286.0,12600.0
Mouse_Thymus4,29_54,5,13086.0,13200.0
Mouse_Thymus4,20_49,3,12186.0,12700.0
Mouse_Thymus4,35_93,5,13686.0,17100.0
Mouse_Thymus4,50_11,3,15186.0,8900.0
Mouse_Thymus4,20_62,6,12186.0,14000.0
Mouse_Thymus4,8_61,6,10986.0,13900.0
Mouse_Thymus4,54_102,5,15586.0,18000.0
Mouse_Thymus4,25_70,3,12686.0,14800.0
Mouse_Thymus4,7_62,2,10886.0,14000.0
Mouse_Thymus4,53_103,3,15486.0,18100.0
Mouse_Thymus4,4_49,7,10586.0,12700.0
Mouse_Thymus4,49_101,5,15086.0,17900.0
Mouse_Thymus4,31_32,6,13286.0,11000.0
Mouse_Thymus4,55_2,7,15686.0,8000.0
Mouse_Thymus4,23_53,5,12486.0,13100.0
Mouse_Thymus4,54_9,3,15586.0,8700.0
Mouse_Thymus4,17_28,7,11886.0,10600.0
Mouse_Thymus4,37_17,6,13886.0,9500.0
Mouse_Thymus4,23_41,5,12486.0,11900.0
Mouse_Thymus4,10_43,6,11186.0,12100.0
Mouse_Thymus4,7_57,6,10886.0,13500.0
Mouse_Thymus4,17_74,0,11886.0,15200.0
Mouse_Thymus4,39_63,3,14086.0,14100.0
Mouse_Thymus4,47_7,6,14886.0,8500.0
Mouse_Thymus4,34_44,0,13586.0,12200.0
Mouse_Thymus4,52_11,3,15386.0,8900.0
Mouse_Thymus4,55_35,6,15686.0,11300.0
Mouse_Thymus4,18_68,6,11986.0,14600.0
Mouse_Thymus4,45_97,5,14686.0,17500.0
Mouse_Thymus4,39_74,5,14086.0,15200.0
Mouse_Thymus4,53_114,2,15486.0,19200.0
Mouse_Thymus4,13_61,6,11486.0,13900.0
Mouse_Thymus4,25_64,3,12686.0,14200.0
Mouse_Thymus4,39_75,5,14086.0,15300.0
Mouse_Thymus4,69_7,2,17086.0,8500.0
Mouse_Thymus4,68_4,2,16986.0,8200.0
Mouse_Thymus4,21_82,2,12286.0,16000.0
Mouse_Thymus4,50_22,6,15186.0,10000.0
Mouse_Thymus4,49_31,1,15086.0,10900.0
Mouse_Thymus4,58_11,2,15986.0,8900.0
Mouse_Thymus4,46_93,3,14786.0,17100.0
Mouse_Thymus4,39_47,7,14086.0,12500.0
Mouse_Thymus4,12_61,6,11386.0,13900.0
Mouse_Thymus4,12_41,6,11386.0,11900.0
Mouse_Thymus4,49_45,6,15086.0,12300.0
Mouse_Thymus4,41_35,1,14286.0,11300.0
Mouse_Thymus4,25_76,2,12686.0,15400.0
Mouse_Thymus4,32_32,6,13386.0,11000.0
Mouse_Thymus4,36_91,5,13786.0,16900.0
Mouse_Thymus4,34_82,3,13586.0,16000.0
Mouse_Thymus4,33_26,3,13486.0,10400.0
Mouse_Thymus4,22_66,5,12386.0,14400.0
Mouse_Thymus4,17_41,3,11886.0,11900.0
Mouse_Thymus4,30_30,3,13186.0,10800.0
Mouse_Thymus4,29_68,3,13086.0,14600.0
Mouse_Thymus4,14_35,6,11586.0,11300.0
Mouse_Thymus4,40_35,1,14186.0,11300.0
Mouse_Thymus4,59_20,7,16086.0,9800.0
Mouse_Thymus4,27_47,3,12886.0,12500.0
Mouse_Thymus4,47_15,3,14886.0,9300.0
Mouse_Thymus4,56_36,6,15786.0,11400.0
Mouse_Thymus4,20_72,5,12186.0,15000.0
Mouse_Thymus4,52_113,3,15386.0,19100.0
Mouse_Thymus4,63_27,2,16486.0,10500.0
Mouse_Thymus4,40_99,6,14186.0,17700.0
Mouse_Thymus4,20_64,7,12186.0,14200.0
Mouse_Thymus4,2_51,0,10386.0,12900.0
Mouse_Thymus4,40_62,6,14186.0,14000.0
Mouse_Thymus4,40_65,3,14186.0,14300.0
Mouse_Thymus4,55_86,2,15686.0,16400.0
Mouse_Thymus4,39_79,2,14086.0,15700.0
Mouse_Thymus4,27_63,3,12886.0,14100.0
Mouse_Thymus4,34_34,2,13586.0,11200.0
Mouse_Thymus4,21_71,5,12286.0,14900.0
Mouse_Thymus4,55_12,7,15686.0,9000.0
Mouse_Thymus4,50_14,3,15186.0,9200.0
Mouse_Thymus4,16_53,3,11786.0,13100.0
Mouse_Thymus4,24_45,3,12586.0,12300.0
Mouse_Thymus4,47_43,6,14886.0,12100.0
Mouse_Thymus4,60_2,2,16186.0,8000.0
Mouse_Thymus4,55_95,2,15686.0,17300.0
Mouse_Thymus4,24_55,1,12586.0,13300.0
Mouse_Thymus4,49_89,5,15086.0,16700.0
Mouse_Thymus4,45_9,2,14686.0,8700.0
Mouse_Thymus4,39_42,2,14086.0,12000.0
Mouse_Thymus4,37_26,3,13886.0,10400.0
Mouse_Thymus4,3_49,7,10486.0,12700.0
Mouse_Thymus4,20_55,6,12186.0,13300.0
Mouse_Thymus4,12_63,6,11386.0,14100.0
Mouse_Thymus4,60_4,3,16186.0,8200.0
Mouse_Thymus4,33_60,6,13486.0,13800.0
Mouse_Thymus4,16_44,3,11786.0,12200.0
Mouse_Thymus4,51_27,7,15286.0,10500.0
Mouse_Thymus4,18_55,2,11986.0,13300.0
Mouse_Thymus4,44_9,0,14586.0,8700.0
Mouse_Thymus4,26_41,3,12786.0,11900.0
Mouse_Thymus4,39_18,3,14086.0,9600.0
Mouse_Thymus4,11_46,6,11286.0,12400.0
Mouse_Thymus4,55_36,2,15686.0,11400.0
Mouse_Thymus4,43_53,3,14486.0,13100.0
Mouse_Thymus4,53_102,3,15486.0,18000.0
Mouse_Thymus4,34_27,3,13586.0,10500.0
Mouse_Thymus4,61_0,6,16286.0,7800.0
Mouse_Thymus4,5_48,6,10686.0,12600.0
Mouse_Thymus4,39_60,6,14086.0,13800.0
Mouse_Thymus4,57_95,0,15886.0,17300.0
Mouse_Thymus4,54_11,6,15586.0,8900.0
Mouse_Thymus4,34_70,5,13586.0,14800.0
Mouse_Thymus4,26_63,5,12786.0,14100.0
Mouse_Thymus4,27_28,3,12886.0,10600.0
Mouse_Thymus4,38_88,6,13986.0,16600.0
Mouse_Thymus4,63_25,2,16486.0,10300.0
Mouse_Thymus4,38_90,2,13986.0,16800.0
Mouse_Thymus4,33_84,3,13486.0,16200.0
Mouse_Thymus4,17_34,6,11886.0,11200.0
Mouse_Thymus4,59_22,6,16086.0,10000.0
Mouse_Thymus4,1_59,2,10286.0,13700.0
Mouse_Thymus4,23_77,7,12486.0,15500.0
Mouse_Thymus4,19_66,3,12086.0,14400.0
Mouse_Thymus4,33_51,3,13486.0,12900.0
Mouse_Thymus4,25_80,6,12686.0,15800.0
