mode,scope,k,label,n_labeled,n_label_classes,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_asw_n_obs,metric_space
independent,section1,5,codex_coarse_label,665399,10,0.1687055089789608,0.14462366018387274,0.14211047795785095,0.14722733248519404,0.14462366018387274,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,6,cell_type_common,611545,16,0.34161507300688637,0.3423476822604452,0.34433039423634776,0.34038767313181506,0.34234768226044526,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,6,codex_coarse_label,665399,10,0.1606840968484137,0.14158869602330437,0.14594899643865777,0.13748137024238888,0.14158869602330437,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,7,cell_type_common,611545,16,0.1896927458401639,0.30458308422277675,0.3214834796491409,0.2893708505949246,0.30458308422277675,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,7,codex_coarse_label,665399,10,0.0930015644387115,0.14016243724487362,0.15122898708732,0.1306050912626462,0.14016243724487362,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,8,cell_type_common,611545,16,0.25043739042717517,0.33877339434807285,0.370335766526737,0.3121684143123703,0.3387733943480729,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,8,codex_coarse_label,665399,10,0.10940967464679113,0.1301714409977874,0.14594990526048074,0.11747171839585653,0.1301714409977874,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,9,cell_type_common,611545,16,0.20418449175372932,0.3168122828081915,0.3569675133662614,0.28477767775365104,0.3168122828081915,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,9,codex_coarse_label,665399,10,0.0925220224451959,0.13428413568425054,0.15482858890517323,0.11855313101881568,0.13428413568425054,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,10,cell_type_common,611545,16,0.15181689708962148,0.3069858982096702,0.35752613725274546,0.26896477816736986,0.30698589820967026,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,10,codex_coarse_label,665399,10,0.06849993209128741,0.13377341014622238,0.15940390480716932,0.11524345742183599,0.13377341014622235,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,11,cell_type_common,611545,16,0.13520955095476353,0.29800283430554564,0.35482488192880873,0.2568677497776405,0.29800283430554564,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,11,codex_coarse_label,665399,10,0.06387772683662023,0.12520520566099314,0.1528221501716373,0.10604203471252471,0.12520520566099314,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,12,cell_type_common,611545,16,0.13247119306359684,0.310490854018082,0.37823783701743774,0.2633259782991587,0.310490854018082,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,12,codex_coarse_label,665399,10,0.060074935030521866,0.13375666246815118,0.16682518957985493,0.11162922448557529,0.13375666246815118,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,13,cell_type_common,611545,16,0.15965668192626242,0.3072306516002175,0.379481114875383,0.25809183114997014,0.30723065160021745,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,13,codex_coarse_label,665399,10,0.07945380456618575,0.12857612616693484,0.16336073600431958,0.10600446108885533,0.12857612616693484,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,14,cell_type_common,611545,16,0.11896056147493511,0.30008604570051206,0.3802372248501748,0.24784265685689535,0.30008604570051206,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,14,codex_coarse_label,665399,10,0.05178434575199382,0.1265181529879487,0.16409906253111436,0.10294284596015256,0.1265181529879487,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,15,cell_type_common,611545,16,0.14376381340535183,0.29982910500515386,0.3857966419969809,0.2451925496587835,0.2998291050051538,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,15,codex_coarse_label,665399,10,0.06722696482113888,0.12814923404641643,0.16924141768827536,0.10311313983371083,0.12814923404641645,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,16,cell_type_common,611545,16,0.11651725973225081,0.29898233696365867,0.3876213768245952,0.24333734452806796,0.29898233696365867,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,16,codex_coarse_label,665399,10,0.05628762010954807,0.12802236008929846,0.17071791563896171,0.1024101728344436,0.1280223600892985,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,17,cell_type_common,611545,16,0.13409390022573087,0.291922844284348,0.38459923677529645,0.23523787141958402,0.29192284428434806,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,17,codex_coarse_label,665399,10,0.0704036124303477,0.12910548225537605,0.17473887199628663,0.10237107955421546,0.12910548225537602,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,18,cell_type_common,611545,16,0.10852770163250768,0.29039643293913825,0.3878688413439723,0.23207532438840087,0.29039643293913825,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,18,codex_coarse_label,665399,10,0.05280531723469128,0.12316048442050932,0.1693068161628104,0.09678164230623963,0.12316048442050931,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,19,cell_type_common,611545,16,0.10736543658273252,0.28912486426934036,0.3907617066832016,0.22944609729986387,0.2891248642693404,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,19,codex_coarse_label,665399,10,0.05403981545328676,0.12829819358289588,0.17832175438601836,0.10019193494426898,0.1282981935828959,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section1,20,cell_type_common,611545,16,0.09634707046958103,0.2849325991084547,0.3909935908414063,0.22413397638582974,0.2849325991084547,0.016841618344187737,0.5084208091720939,10000,standardized_embedding
independent,section1,20,codex_coarse_label,665399,10,0.047186975751748586,0.12468984113592568,0.17570897251695697,0.09663170772668599,0.12468984113592568,-0.006558096501976252,0.4967209517490119,10000,standardized_embedding
independent,section2,2,cell_type_common,344594,16,0.5871925217904644,0.4962824905515786,0.38045701859256176,0.713498292765563,0.4962824905515785,-0.00177109579090029,0.49911445210454985,10000,standardized_embedding
independent,section2,2,spatial_cluster,344594,8,0.20904500603194756,0.36172990968185276,0.24166677832512706,0.718877304061186,0.36172990968185276,0.06038723140954971,0.5301936157047749,10000,standardized_embedding
independent,section2,3,cell_type_common,344594,16,0.4742861738951265,0.37355689274655396,0.340589582715526,0.41359029406672976,0.37355689274655385,-0.00177109579090029,0.49911445210454985,10000,standardized_embedding
independent,section2,3,spatial_cluster,344594,8,0.2958376557484413,0.43251077684195766,0.32852894428735024,0.6327950861283359,0.43251077684195766,0.06038723140954971,0.5301936157047749,10000,standardized_embedding
independent,section2,4,cell_type_common,344594,16,0.4003495231230544,0.41579160984663455,0.42845442301566156,0.4038557999511162,0.41579160984663455,-0.00177109579090029,0.49911445210454985,10000,standardized_embedding
