mode,n_clusters,n_clusters_observed,cluster_asw,cluster_asw_scaled,dbi,calinski_harabasz,metric_n_obs,silhouette_sample_size,label_key,n_labeled,n_true_labels,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,section,spatial_neighbor_agreement
independent,11,11.0,0.12394209206104279,0.5619710460305214,2.361557358875955,26080.481720059466,403563.0,10000.0,cell_type_common,344594.0,16.0,0.1435454388991034,0.33762571994429286,0.4785042233127195,0.2608328032620598,0.3376257199442928,-0.0017710962565615773,0.4991144518717192,section2,
independent,11,11.0,0.12394209206104279,0.5619710460305214,2.361557358875955,26080.481720059466,403563.0,10000.0,spatial_cluster,344594.0,8.0,0.27671152497444496,0.4443617659933807,0.47914931393520543,0.41428364281390867,0.4443617659933807,0.06038723140954971,0.5301936157047749,section2,
independent_section_spatial,11,,,,,,,,cluster,,,,,,,,,,section2,0.797969998901452
joint,12,12.0,0.12051370739936829,0.5602568536996841,2.188217332541272,61453.059895750564,1068962.0,10000.0,cell_type_common,956139.0,16.0,0.11463566134311655,0.3074838946917774,0.3892724625926107,0.2540966141241883,0.3074838946917774,0.02469717524945736,0.5123485876247287,,
joint,12,12.0,0.12051370739936829,0.5602568536996841,2.188217332541272,61453.059895750564,1068962.0,10000.0,spatial_cluster,344594.0,8.0,0.2881783847879537,0.44865778162116493,0.488589953059265,0.4147597126050904,0.448657781621165,0.06080184876918793,0.530400924384594,,
joint,12,12.0,0.12051370739936829,0.5602568536996841,2.188217332541272,61453.059895750564,1068962.0,10000.0,codex_coarse_label,665399.0,10.0,0.04584745042686512,0.13393968924017402,0.16492729346735352,0.11275462302352895,0.13393968924017402,-0.006588565185666084,0.49670571740716696,,
joint,12,12.0,0.12051370739936829,0.5602568536996841,2.188217332541272,61453.059895750564,1068962.0,10000.0,section,1068962.0,2.0,0.008412101351888059,0.015409231362669624,0.035990388655361576,0.009803236173395546,0.015409231362669622,0.00887122843414545,0.5044356142170727,,
joint_section_spatial,12,,,,,,,,cluster,,,,,,,,,,section1,0.7387702716715835
joint_section_spatial,12,,,,,,,,cluster,,,,,,,,,,section2,0.7261716262392737
independent,12,12.0,0.13777893781661987,0.5688894689083099,2.140783070815916,40879.85409486634,665399.0,10000.0,cell_type_common,611545.0,16.0,0.22129239463493053,0.3130036835908467,0.37654176578112797,0.26781267140174037,0.3130036835908467,0.016841620206832886,0.5084208101034164,section1,
independent,12,12.0,0.13777893781661987,0.5688894689083099,2.140783070815916,40879.85409486634,665399.0,10000.0,codex_coarse_label,665399.0,10.0,0.10641058918016286,0.13336937454068243,0.16456807360962467,0.11211474116048294,0.13336937454068246,-0.006558096967637539,0.49672095151618123,section1,
independent_section_spatial,12,,,,,,,,cluster,,,,,,,,,,section1,0.7135903921306364
independent,12,12.0,0.13182605803012848,0.5659130290150642,2.2238540652855208,24711.485680166217,403563.0,10000.0,cell_type_common,344594.0,16.0,0.17344223947733808,0.3456060993033536,0.48763755511506773,0.26764936875183054,0.3456060993033536,-0.0017710962565615773,0.4991144518717192,section2,
independent,12,12.0,0.13182605803012848,0.5659130290150642,2.2238540652855208,24711.485680166217,403563.0,10000.0,spatial_cluster,344594.0,8.0,0.2579741201191104,0.43886458945758805,0.4714789766219615,0.41047044531374555,0.438864589457588,0.06038723140954971,0.5301936157047749,section2,
independent_section_spatial,12,,,,,,,,cluster,,,,,,,,,,section2,0.7923199103981287
joint,13,13.0,0.12856370210647583,0.5642818510532379,2.090238349166733,61840.13321149043,1068962.0,10000.0,cell_type_common,956139.0,16.0,0.14027090087960756,0.318883463753228,0.41133061538155197,0.2603658596510568,0.31888346375322807,0.02469717524945736,0.5123485876247287,,
joint,13,13.0,0.12856370210647583,0.5642818510532379,2.090238349166733,61840.13321149043,1068962.0,10000.0,spatial_cluster,344594.0,8.0,0.2671052364104511,0.4367635213387752,0.4801207020163548,0.4005884783539447,0.43676352133877516,0.06080184876918793,0.530400924384594,,
joint,13,13.0,0.12856370210647583,0.5642818510532379,2.090238349166733,61840.13321149043,1068962.0,10000.0,codex_coarse_label,665399.0,10.0,0.05525713036156508,0.12923927162354398,0.1610083438574498,0.10794107270111404,0.12923927162354398,-0.006588565185666084,0.49670571740716696,,
joint,13,13.0,0.12856370210647583,0.5642818510532379,2.090238349166733,61840.13321149043,1068962.0,10000.0,section,1068962.0,2.0,0.012313398080997125,0.03566474210768278,0.08570505447129359,0.022517517439553825,0.035664742107682786,0.00887122843414545,0.5044356142170727,,
joint_section_spatial,13,,,,,,,,cluster,,,,,,,,,,section1,0.710605716770439
joint_section_spatial,13,,,,,,,,cluster,,,,,,,,,,section2,0.6969849399804574
independent,13,13.0,0.13101373612880707,0.5655068680644035,2.2651286031299245,39625.41258869345,665399.0,10000.0,cell_type_common,611545.0,16.0,0.16323753635251256,0.30511914161506587,0.377640434940507,0.2559642859734944,0.30511914161506587,0.016841620206832886,0.5084208101034164,section1,
independent,13,13.0,0.13101373612880707,0.5655068680644035,2.2651286031299245,39625.41258869345,665399.0,10000.0,codex_coarse_label,665399.0,10.0,0.08076967391072536,0.12918984402469966,0.1645054997856042,0.10635730636419485,0.12918984402469963,-0.006558096967637539,0.49672095151618123,section1,
independent_section_spatial,13,,,,,,,,cluster,,,,,,,,,,section1,0.7003244168786948
independent,13,13.0,0.12901665270328522,0.5645083263516426,2.0831207822573763,24678.659181163403,403563.0,10000.0,cell_type_common,344594.0,16.0,0.13436492072797204,0.3371419332571594,0.49485749546652297,0.2556605896396701,0.3371419332571595,-0.0017710962565615773,0.4991144518717192,section2,
independent,13,13.0,0.12901665270328522,0.5645083263516426,2.0831207822573763,24678.659181163403,403563.0,10000.0,spatial_cluster,344594.0,8.0,0.2643652765689593,0.4350333182188377,0.48295179404266764,0.3957654693207024,0.4350333182188377,0.06038723140954971,0.5301936157047749,section2,
independent_section_spatial,13,,,,,,,,cluster,,,,,,,,,,section2,0.7624728563652597
joint,14,14.0,0.12054292112588882,0.5602714605629444,2.203496401866184,57246.769757911745,1068962.0,10000.0,cell_type_common,956139.0,16.0,0.11373479762606979,0.3003511442079238,0.39423976972337776,0.2425803683695742,0.3003511442079238,0.02469717524945736,0.5123485876247287,,
joint,14,14.0,0.12054292112588882,0.5602714605629444,2.203496401866184,57246.769757911745,1068962.0,10000.0,spatial_cluster,344594.0,8.0,0.24778336577662835,0.42751641432322485,0.4768376552306661,0.3874417520539269,0.4275164143232249,0.06080184876918793,0.530400924384594,,
joint,14,14.0,0.12054292112588882,0.5602714605629444,2.203496401866184,57246.769757911745,1068962.0,10000.0,codex_coarse_label,665399.0,10.0,0.04782398784236055,0.1329934112234633,0.16825685255348458,0.10994998265686341,0.1329934112234633,-0.006588565185666084,0.49670571740716696,,
joint,14,14.0,0.12054292112588882,0.5602714605629444,2.203496401866184,57246.769757911745,1068962.0,10000.0,section,1068962.0,2.0,0.015561142437793676,0.0397796129958873,0.09781441846992418,0.024966564565958024,0.0397796129958873,0.00887122843414545,0.5044356142170727,,
joint_section_spatial,14,,,,,,,,cluster,,,,,,,,,,section1,0.7284143298482063
joint_section_spatial,14,,,,,,,,cluster,,,,,,,,,,section2,0.6982305117168819
independent,14,14.0,0.13201119005680084,0.5660055950284004,2.2482507123449165,38394.74442616988,665399.0,10000.0,cell_type_common,611545.0,16.0,0.13569972003775788,0.2979607975637007,0.3777945795907485,0.2459812015412571,0.29796079756370075,0.016841620206832886,0.5084208101034164,section1,
independent,14,14.0,0.13201119005680084,0.5660055950284004,2.2482507123449165,38394.74442616988,665399.0,10000.0,codex_coarse_label,665399.0,10.0,0.062401310857555986,0.12569467075459478,0.1631676499259745,0.1022190975352997,0.12569467075459476,-0.006558096967637539,0.49672095151618123,section1,
independent_section_spatial,14,,,,,,,,cluster,,,,,,,,,,section1,0.6807003517187933
independent,14,14.0,0.12722329795360565,0.5636116489768028,2.2263349424059653,23746.863829434693,403563.0,10000.0,cell_type_common,344594.0,16.0,0.1329957272846317,0.3110952213219135,0.4680998562645875,0.23295885797292143,0.31109522132191353,-0.0017710962565615773,0.4991144518717192,section2,
independent,14,14.0,0.12722329795360565,0.5636116489768028,2.2263349424059653,23746.863829434693,403563.0,10000.0,spatial_cluster,344594.0,8.0,0.24057175619973295,0.42596243693645763,0.4827862872493655,0.38110630086617225,0.42596243693645763,0.06038723140954971,0.5301936157047749,section2,
independent_section_spatial,14,,,,,,,,cluster,,,,,,,,,,section2,0.7806389584773629
joint,15,15.0,0.13026395440101624,0.5651319772005081,2.1136402207943314,56724.57000354691,1068962.0,10000.0,cell_type_common,956139.0,16.0,0.12116963256797657,0.31143855519869457,0.4162099159199275,0.24880705062795225,0.3114385551986946,0.02469717524945736,0.5123485876247287,,
joint,15,15.0,0.13026395440101624,0.5651319772005081,2.1136402207943314,56724.57000354691,1068962.0,10000.0,spatial_cluster,344594.0,8.0,0.26216598441675715,0.43467012202931177,0.4918065721272554,0.3894277075511725,0.43467012202931177,0.06080184876918793,0.530400924384594,,
joint,15,15.0,0.13026395440101624,0.5651319772005081,2.1136402207943314,56724.57000354691,1068962.0,10000.0,codex_coarse_label,665399.0,10.0,0.04980614759888592,0.1281220697610985,0.16539098874125607,0.10456057162768186,0.12812206976109852,-0.006588565185666084,0.49670571740716696,,
