mode,k,section,cluster,count,fraction
independent,7,section2,1,47830,0.11851928942940755
independent,7,section2,2,78552,0.19464618907085138
independent,7,section2,3,46420,0.11502541115017978
independent,7,section2,4,68213,0.16902689295103862
independent,7,section2,5,63047,0.15622591763863386
independent,7,section2,6,46746,0.11583321563176009
independent,8,section1,0,89796,0.13495060858221908
independent,8,section1,1,71457,0.1073897015174354
independent,8,section1,2,89696,0.1348003228138305
independent,8,section1,3,70478,0.1059184038449111
independent,8,section1,4,124705,0.1874138674689923
independent,8,section1,5,109091,0.1639482475927977
independent,8,section1,6,45990,0.06911642488191296
independent,8,section1,7,64186,0.09646242329790096
independent,8,section2,0,57496,0.1424709401010499
independent,8,section2,1,49612,0.12293495687166564
independent,8,section2,2,53319,0.1321206354398198
independent,8,section2,3,81245,0.20131924879139068
independent,8,section2,4,43157,0.10693993255080371
independent,8,section2,5,57356,0.14212403020098474
independent,8,section2,6,35459,0.08786484390293461
independent,8,section2,7,25919,0.06422541214135091
independent,9,section1,0,102957,0.15472971855984155
independent,9,section1,1,69526,0.10448768332985171
independent,9,section1,2,68731,0.10329291147116242
independent,9,section1,3,62540,0.09398871955022475
independent,9,section1,4,77867,0.11702301927114409
independent,9,section1,5,103178,0.15506185010798032
independent,9,section1,6,68282,0.10261812837109764
independent,9,section1,7,68579,0.10306447710321176
independent,9,section1,8,43739,0.06573349223548577
independent,9,section2,0,38207,0.09467418965564237
independent,9,section2,1,51842,0.12846073599413227
independent,9,section2,2,67990,0.16847431503879196
independent,9,section2,3,49900,0.12364860009465685
independent,9,section2,4,60754,0.15054402906113792
independent,9,section2,5,28898,0.0716071592291662
independent,9,section2,6,43241,0.10714807849084282
independent,9,section2,7,27153,0.06728317511763962
independent,9,section2,8,35578,0.08815971731799001
joint,10,section1,0,32417,0.048718137538529514
joint,10,section1,1,100872,0.1515962602889394
joint,10,section1,2,113685,0.17085237579256957
joint,10,section1,3,41699,0.06266766256035852
joint,10,section1,4,73407,0.11032027400101292
joint,10,section1,5,67520,0.10147295081597658
joint,10,section1,6,62591,0.09406536529210294
joint,10,section1,7,105525,0.15858905709206056
joint,10,section1,8,4290,0.00644725946387055
joint,10,section1,9,63393,0.09527065715457943
joint,10,section2,0,25563,0.06334326982404234
joint,10,section2,1,38612,0.09567775043797375
joint,10,section2,2,79074,0.19593966741252294
joint,10,section2,3,28906,0.07162698265202706
joint,10,section2,4,42715,0.10584468843774082
joint,10,section2,5,23507,0.05824865014879957
joint,10,section2,6,37941,0.09401506084551854
joint,10,section2,7,50725,0.12569289057718375
joint,10,section2,8,58262,0.1443690328399779
joint,10,section2,9,18258,0.04524200682421332
joint,11,section1,0,39926,0.060003095886828804
joint,11,section1,1,65461,0.09837856684485549
joint,11,section1,2,87222,0.13108225290389677
joint,11,section1,3,68268,0.10259708836352324
joint,11,section1,4,32864,0.049389914923226516
joint,11,section1,5,37745,0.056725363278273634
joint,11,section1,6,58932,0.0885664090267644
joint,11,section1,7,63914,0.09605364600788399
joint,11,section1,8,86807,0.1304585669650841
joint,11,section1,9,58032,0.08721383711126708
joint,11,section1,10,66228,0.09953125868839599
joint,11,section2,0,19140,0.04742753919462389
joint,11,section2,1,37024,0.09174280100009169
joint,11,section2,2,40955,0.10148353540835012
joint,11,section2,3,38225,0.09471879235707932
joint,11,section2,4,25965,0.0643393968228009
joint,11,section2,5,27027,0.06697095620758098
joint,11,section2,6,55126,0.1365982510785181
joint,11,section2,7,23353,0.05786704925872788
joint,11,section2,8,45719,0.11328838372199632
joint,11,section2,9,37045,0.09179483748510146
joint,11,section2,10,53984,0.13376845746512936
joint,12,section1,0,37275,0.05601902016684726
joint,12,section1,1,60023,0.09020602675988391
joint,12,section1,2,41804,0.06282546261716654
joint,12,section1,3,20659,0.031047536891398997
joint,12,section1,4,99261,0.14917515656019922
joint,12,section1,5,45247,0.06799980162278572
joint,12,section1,6,66801,0.10039239614126261
joint,12,section1,7,102474,0.15400383829852465
joint,12,section1,8,51596,0.07754144505777737
joint,12,section1,9,31169,0.0468425711490399
joint,12,section1,10,58529,0.08796075738015838
joint,12,section1,11,50561,0.07598598735495544
joint,12,section2,0,37821,0.09371770950260554
joint,12,section2,1,29860,0.07399092582818544
joint,12,section2,2,29203,0.07236292722573676
joint,12,section2,3,51336,0.12720690449818245
joint,12,section2,4,49410,0.12243441544442875
joint,12,section2,5,17881,0.04430782802189497
joint,12,section2,6,32320,0.08008662835790199
joint,12,section2,7,49921,0.12370063657966662
joint,12,section2,8,19059,0.04722682703815761
joint,12,section2,9,24658,0.061100745112906786
joint,12,section2,10,35859,0.08885601504597795
joint,12,section2,11,26235,0.06500843734435516
joint,13,section1,0,63053,0.09475968554205823
joint,13,section1,1,37836,0.05686212332750726
joint,13,section1,2,86727,0.13033833835037323
joint,13,section1,3,86321,0.12972817813071555
joint,13,section1,4,53713,0.08072299477456384
joint,13,section1,5,45255,0.06801182448425681
joint,13,section1,6,64770,0.09734009218529033
joint,13,section1,7,50045,0.07521051279007032
joint,13,section1,8,47257,0.0710205455673964
joint,13,section1,9,40897,0.061462370697882025
joint,13,section1,10,31693,0.04763006857539612
joint,13,section1,11,394,0.0005921259274510481
joint,13,section1,12,57438,0.08632113964703884
joint,13,section2,0,34193,0.08472778723520244
joint,13,section2,1,26883,0.06661413459608537
joint,13,section2,2,34854,0.08636569754908155
joint,13,section2,3,43052,0.10667975012575484
joint,13,section2,4,47358,0.1173497074806164
joint,13,section2,5,21095,0.05227188815624822
joint,13,section2,6,21545,0.05338695569217198
joint,13,section2,7,14220,0.03523613413519079
joint,13,section2,8,32002,0.07929864729918253
joint,13,section2,9,17078,0.04231805195223546
joint,13,section2,10,25012,0.06197793157450014
joint,13,section2,11,50505,0.1251477464485099
joint,13,section2,12,35766,0.08862556775522037
joint,14,section1,0,344,0.0005169830432567527
joint,14,section1,1,47468,0.07133764853869633
joint,14,section1,2,40613,0.06103555911565842
joint,14,section1,3,79196,0.11902031713302845
joint,14,section1,4,98839,0.14854095061759937
joint,14,section1,5,48634,0.0730899805981073
joint,14,section1,6,30281,0.04550803352574921
joint,14,section1,7,40736,0.06122041061077639
joint,14,section1,8,34519,0.051877144390057695
joint,14,section1,9,65655,0.09867012123552936
joint,14,section1,10,35681,0.05362346501873312
joint,14,section1,11,41573,0.0624783024921889
joint,14,section1,12,48215,0.0724602832285591
joint,14,section1,13,53645,0.08062080045205959
joint,14,section2,0,57977,0.14366282340055953
joint,14,section2,1,34205,0.08475752236949373
joint,14,section2,2,26748,0.06627961433530824
joint,14,section2,3,31702,0.07855526894190003
joint,14,section2,4,36060,0.08935407854535724
joint,14,section2,5,22098,0.054757249797429394
joint,14,section2,6,23806,0.05898955057822446
joint,14,section2,7,11874,0.02942291538124159
joint,14,section2,8,21010,0.05206126428835151
joint,14,section2,9,22241,0.055111593481067395
joint,14,section2,10,25355,0.0628278608296598
joint,14,section2,11,18318,0.04539068249566982
joint,14,section2,12,39048,0.096758126983891
joint,14,section2,13,33121,0.08207144857184628
joint,15,section1,0,81779,0.12290219853050575
joint,15,section1,1,41518,0.06239564531957517
joint,15,section1,2,50157,0.07537883285066554
joint,15,section1,3,37532,0.05640525459160594
joint,15,section1,4,355,0.0005335144777794977
joint,15,section1,5,26964,0.040523054588299655
joint,15,section1,6,40632,0.06106411341165226
joint,15,section1,7,62266,0.09357693654484002
joint,15,section1,8,53206,0.07996104592883367
