mode,scope,label,n_obs_labeled,n_label_classes,k,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled
joint,combined,ATAC_Clusters,7118,13,14,0.2408005081274823,0.4354245475192007,0.48535363193524406,0.39480984368924144,0.43542454751920073,0.025749409571290016,0.512874704785645
joint,combined,Y,7118,14,15,0.2772476935936162,0.4048395360009231,0.42969911296788454,0.38269907355387045,0.4048395360009231,-0.009248405694961548,0.4953757971525192
joint,combined,Combined_Clusters_annotation,7118,16,15,0.25948447854459217,0.4582719694287282,0.49654742828699416,0.4254749999396463,0.4582719694287283,0.00605687266215682,0.5030284363310784
joint,combined,Combined_Clusters,7118,16,15,0.25948447854459217,0.4582719694287282,0.49654742828699416,0.4254749999396463,0.4582719694287283,0.00605687266215682,0.5030284363310784
joint,combined,RNA_Clusters,7118,13,15,0.29434061547576296,0.45425110450936773,0.4860396590444573,0.4263654358075744,0.45425110450936773,0.02878217212855816,0.5143910860642791
joint,combined,ATAC_Clusters,7118,13,15,0.24337017330875382,0.4405111022185589,0.49418900388431697,0.39735151110614897,0.4405111022185588,0.025749409571290016,0.512874704785645
joint,combined,Y,7118,14,16,0.2618310760919531,0.4146285825055247,0.4474913578227441,0.38626233142758093,0.41462858250552465,-0.009248405694961548,0.4953757971525192
joint,combined,Combined_Clusters_annotation,7118,16,16,0.24916091868481668,0.4631447260902166,0.510421089942089,0.4238836564228515,0.46314472609021656,0.00605687266215682,0.5030284363310784
joint,combined,Combined_Clusters,7118,16,16,0.24916091868481668,0.4631447260902166,0.510421089942089,0.4238836564228515,0.46314472609021656,0.00605687266215682,0.5030284363310784
joint,combined,RNA_Clusters,7118,13,16,0.2908151117077969,0.46367963592864825,0.5045321919665003,0.42894727793789134,0.4636796359286483,0.02878217212855816,0.5143910860642791
joint,combined,ATAC_Clusters,7118,13,16,0.24136459378200759,0.4459525889896919,0.509112063660781,0.3967344654903069,0.4459525889896919,0.025749409571290016,0.512874704785645
independent,dataset1,Y,2129,14,2,0.1945443861899428,0.3050164422714763,0.19993551629150977,0.6429169074754388,0.30501644227147634,0.02981637418270111,0.5149081870913506
independent,dataset1,Combined_Clusters_annotation,2129,14,2,0.1945443861899428,0.30501644227147623,0.1999355162915097,0.6429169074754388,0.3050164422714763,0.02981637418270111,0.5149081870913506
independent,dataset1,Combined_Clusters,2129,14,2,0.1945443861899428,0.3050164422714763,0.19993551629150977,0.6429169074754388,0.30501644227147634,0.02981637418270111,0.5149081870913506
independent,dataset1,RNA_Clusters,2129,13,2,0.2033123420017127,0.29425616050195985,0.1959922915527861,0.5901245273774817,0.29425616050195985,0.0099099762737751,0.5049549881368876
independent,dataset1,ATAC_Clusters,2129,10,2,0.23063175762962182,0.3227545907256091,0.21924507412944785,0.6114141209273897,0.32275459072560914,0.04237101972103119,0.5211855098605156
independent,dataset2,Y,1949,12,2,0.26722716574735483,0.3612987696108757,0.239809804240557,0.7322715765036033,0.36129876961087576,0.09271403402090073,0.5463570170104504
independent,dataset2,Combined_Clusters_annotation,1949,12,2,0.26722716574735483,0.3612987696108757,0.23980980424055698,0.7322715765036034,0.3612987696108757,0.09271403402090073,0.5463570170104504
independent,dataset2,Combined_Clusters,1949,12,2,0.26722716574735483,0.3612987696108757,0.239809804240557,0.7322715765036033,0.36129876961087576,0.09271403402090073,0.5463570170104504
independent,dataset2,RNA_Clusters,1949,11,2,0.4243351067350656,0.430074783169058,0.30651159411309914,0.7205469068496176,0.4300747831690579,0.09710429608821869,0.5485521480441093
independent,dataset2,ATAC_Clusters,1949,9,2,0.39462402656384893,0.4077465328378825,0.28594400241420814,0.7103182039022073,0.4077465328378824,0.1238599345088005,0.5619299672544003
independent,dataset3,Y,1777,12,2,0.21588230079608445,0.25668643185709994,0.18110092337613223,0.44056264076326684,0.2566864318570999,-0.012990688905119896,0.49350465554744005
independent,dataset3,Combined_Clusters_annotation,1777,12,2,0.21588230079608445,0.2566864318570999,0.18110092337613218,0.44056264076326673,0.25668643185709983,-0.012990688905119896,0.49350465554744005
independent,dataset3,Combined_Clusters,1777,12,2,0.21588230079608445,0.2566864318570999,0.18110092337613218,0.44056264076326673,0.25668643185709983,-0.012990688905119896,0.49350465554744005
independent,dataset3,RNA_Clusters,1777,11,2,0.13964816819766224,0.20094729688816443,0.14180588834739374,0.3447128683673224,0.20094729688816446,-0.0004067536210641265,0.49979662318946794
independent,dataset3,ATAC_Clusters,1777,11,2,0.1515280163783648,0.23823640179574918,0.1615190556331332,0.45376111962534454,0.23823640179574915,0.015568196773529053,0.5077840983867645
independent,dataset4,Y,1263,8,2,0.31345219559164883,0.3815175710520432,0.2763639335842294,0.6158373594293087,0.38151757105204326,0.052194010466337204,0.5260970052331686
independent,dataset4,Combined_Clusters_annotation,1263,8,2,0.31345219559164883,0.3815175710520432,0.2763639335842294,0.6158373594293087,0.38151757105204326,0.052194010466337204,0.5260970052331686
independent,dataset4,Combined_Clusters,1263,8,2,0.31345219559164883,0.3815175710520432,0.2763639335842294,0.6158373594293087,0.38151757105204326,0.052194010466337204,0.5260970052331686
independent,dataset4,RNA_Clusters,1263,12,2,0.24419584005205722,0.3441636539948635,0.23499761461199126,0.6427451740763354,0.3441636539948634,0.027149584144353867,0.5135747920721769
independent,dataset4,ATAC_Clusters,1263,8,2,0.33003755854916755,0.39677679412063516,0.2836598694752512,0.6599490453465958,0.3967767941206352,-0.02382189780473709,0.48808905109763145
independent,dataset1,Y,2129,14,3,0.34106565934787547,0.44415629255242867,0.328270075979526,0.6865080063538169,0.44415629255242867,0.02981637418270111,0.5149081870913506
independent,dataset1,Combined_Clusters_annotation,2129,14,3,0.34106565934787547,0.4441562925524284,0.3282700759795258,0.6865080063538166,0.44415629255242844,0.02981637418270111,0.5149081870913506
independent,dataset1,Combined_Clusters,2129,14,3,0.34106565934787547,0.44415629255242867,0.328270075979526,0.6865080063538169,0.44415629255242867,0.02981637418270111,0.5149081870913506
independent,dataset1,RNA_Clusters,2129,13,3,0.339463916961412,0.4220826724493739,0.3188151969830044,0.6242996651192849,0.4220826724493739,0.0099099762737751,0.5049549881368876
independent,dataset1,ATAC_Clusters,2129,10,3,0.38498808686651004,0.45558390087649336,0.35339012886161997,0.6409282979221228,0.4555839008764933,0.04237101972103119,0.5211855098605156
independent,dataset2,Y,1949,12,3,0.4218125416332656,0.46621041129316076,0.3566431218687943,0.6729542702996861,0.46621041129316076,0.09271403402090073,0.5463570170104504
independent,dataset2,Combined_Clusters_annotation,1949,12,3,0.4218125416332656,0.4662104112931609,0.3566431218687943,0.6729542702996864,0.4662104112931609,0.09271403402090073,0.5463570170104504
independent,dataset2,Combined_Clusters,1949,12,3,0.4218125416332656,0.46621041129316093,0.35664312186879443,0.6729542702996864,0.46621041129316093,0.09271403402090073,0.5463570170104504
independent,dataset2,RNA_Clusters,1949,11,3,0.5376170260585498,0.4961360304506916,0.41883698660148455,0.6084246987723718,0.49613603045069166,0.09710429608821869,0.5485521480441093
independent,dataset2,ATAC_Clusters,1949,9,3,0.514889456316299,0.4899757045689212,0.404585372577693,0.6210528917454636,0.4899757045689212,0.1238599345088005,0.5619299672544003
independent,dataset3,Y,1777,12,3,0.3017776229369613,0.30990498513837605,0.2555630994648729,0.3935980558376674,0.30990498513837605,-0.012990688905119896,0.49350465554744005
independent,dataset3,Combined_Clusters_annotation,1777,12,3,0.3017776229369613,0.30990498513837605,0.2555630994648729,0.3935980558376674,0.30990498513837605,-0.012990688905119896,0.49350465554744005
independent,dataset3,Combined_Clusters,1777,12,3,0.3017776229369613,0.30990498513837605,0.2555630994648729,0.3935980558376674,0.30990498513837605,-0.012990688905119896,0.49350465554744005
