mode,scope,k,n_obs,embedding_dim,cluster_asw_raw,cluster_asw_scaled_raw,cluster_asw_n_obs,calinski_harabasz_raw,davies_bouldin_raw,ch_dbi_n_obs,section_ari_raw,section_nmi_raw,section_asw_raw,section_asw_n_obs_raw,metric_space_raw,labels_path_raw,cluster_asw_standardized,cluster_asw_scaled_standardized,calinski_harabasz_standardized,davies_bouldin_standardized,section_ari_standardized,section_nmi_standardized,section_asw_standardized,section_asw_n_obs_standardized,metric_space_standardized,labels_path_standardized,cluster_asw_delta_standardized_minus_raw,cluster_asw_scaled_delta_standardized_minus_raw,calinski_harabasz_delta_standardized_minus_raw,davies_bouldin_delta_standardized_minus_raw,section_ari_delta_standardized_minus_raw,section_nmi_delta_standardized_minus_raw,section_asw_delta_standardized_minus_raw
independent,Mouse_Thymus1,11,4697,128,0.0733125358819961,0.5366562679409981,2635,503.06002015937264,2.4066022398442124,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k11/labels_Mouse_Thymus1.csv,0.0641274899244308,0.5320637449622154,403.44768836537935,2.4103521881808847,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k11/labels_Mouse_Thymus1.csv,-0.009185045957565294,-0.004592522978782654,-99.61233179399329,0.003749948336672304,,,
independent,Mouse_Thymus1,12,4697,128,0.0741421729326248,0.5370710864663124,2635,470.4342920827663,2.4166628685520597,4697,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_Mouse_Thymus1.csv,0.0724510848522186,0.5362255424261093,379.10308848273377,2.2708729865935324,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k12/labels_Mouse_Thymus1.csv,-0.0016910880804062028,-0.0008455440402030945,-91.33120360003255,-0.14578988195852727,,,
independent,Mouse_Thymus2,2,4253,128,0.3324350118637085,0.6662175059318542,2386,2157.4325131732708,1.164301208893508,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_Mouse_Thymus2.csv,0.2479750514030456,0.6239875257015228,1284.7155093891904,1.515835271842492,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k2/labels_Mouse_Thymus2.csv,-0.0844599604606629,-0.04222998023033142,-872.7170037840804,0.3515340629489838,,,
independent,Mouse_Thymus2,3,4253,128,0.2683500051498413,0.6341750025749207,2386,1365.5288782489026,2.370333984560577,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_Mouse_Thymus2.csv,0.2393391132354736,0.6196695566177368,832.0001914639173,2.739596364426337,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k3/labels_Mouse_Thymus2.csv,-0.029010891914367704,-0.014505445957183838,-533.5286867849853,0.3692623798657597,,,
independent,Mouse_Thymus2,4,4253,128,0.2228264659643173,0.6114132329821587,2386,1022.0426445276578,2.310898833390842,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_Mouse_Thymus2.csv,0.2006968259811401,0.6003484129905701,645.0903453538637,2.519579754199355,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k4/labels_Mouse_Thymus2.csv,-0.022129639983177185,-0.011064819991588593,-376.95229917379413,0.2086809208085132,,,
independent,Mouse_Thymus2,5,4253,128,0.1667866706848144,0.5833933353424072,2386,840.0179194317966,2.519777679642906,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Mouse_Thymus2.csv,0.2065504193305969,0.6032752096652985,539.7651810864094,2.697572006925073,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_Mouse_Thymus2.csv,0.0397637486457825,0.019881874322891235,-300.25273834538723,0.17779432728216715,,,
independent,Mouse_Thymus2,6,4253,128,0.1665182113647461,0.583259105682373,2386,725.06878026258,2.39095667407832,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k6/labels_Mouse_Thymus2.csv,0.186154305934906,0.593077152967453,474.43244337982304,2.6462982051699635,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k6/labels_Mouse_Thymus2.csv,0.019636094570159912,0.009818047285079956,-250.636336882757,0.2553415310916436,,,
independent,Mouse_Thymus2,7,4253,128,0.1583086401224136,0.5791543200612068,2386,644.7311149643072,2.3856615349249166,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k7/labels_Mouse_Thymus2.csv,0.1439706832170486,0.5719853416085243,428.4080497742522,2.528605355834908,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k7/labels_Mouse_Thymus2.csv,-0.014337956905365018,-0.007168978452682495,-216.32306519005493,0.14294382090999136,,,
independent,Mouse_Thymus2,8,4253,128,0.1635594516992569,0.5817797258496284,2386,584.4502135161656,2.32539508446844,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k8/labels_Mouse_Thymus2.csv,0.0874316692352294,0.5437158346176147,393.90927407872215,2.573111184492949,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k8/labels_Mouse_Thymus2.csv,-0.0761277824640275,-0.0380638912320137,-190.54093943744346,0.24771610002450872,,,
independent,Mouse_Thymus2,9,4253,128,0.1660333573818206,0.5830166786909103,2386,537.1225737591473,2.2032684526497617,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k9/labels_Mouse_Thymus2.csv,0.0937131270766258,0.5468565635383129,367.3448444030832,2.3883260744149397,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k9/labels_Mouse_Thymus2.csv,-0.0723202303051948,-0.03616011515259743,-169.77772935606407,0.18505762176517804,,,
independent,Mouse_Thymus2,10,4253,128,0.1025331541895866,0.5512665770947933,2386,499.0871816166962,2.3210918007882144,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k10/labels_Mouse_Thymus2.csv,0.1041589751839637,0.5520794875919819,345.61043806413323,2.2900081729340807,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k10/labels_Mouse_Thymus2.csv,0.0016258209943771085,0.0008129104971885681,-153.476743552563,-0.031083627854133766,,,
independent,Mouse_Thymus2,11,4253,128,0.1773044615983963,0.5886522307991982,2386,469.3320636442599,2.075076793867773,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k11/labels_Mouse_Thymus2.csv,0.1510863453149795,0.5755431726574898,327.20719358950095,2.131534956901316,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k11/labels_Mouse_Thymus2.csv,-0.026218116283416804,-0.013109058141708374,-142.12487005475896,0.056458163033542785,,,
independent,Mouse_Thymus2,12,4253,128,0.0974723994731903,0.5487361997365952,2386,444.4567901007657,2.1885131701456424,4253,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k12/labels_Mouse_Thymus2.csv,0.1010730266571044,0.5505365133285522,314.89556905664045,2.202154391373785,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k12/labels_Mouse_Thymus2.csv,0.0036006271839141013,0.0018003135919570923,-129.56122104412526,0.013641221228142708,,,
independent,Mouse_Thymus3,2,4646,128,0.3304663002490997,0.6652331501245499,2607,2226.725873291868,1.135450505409904,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k2/labels_Mouse_Thymus3.csv,0.2495557069778442,0.6247778534889221,1358.350578063861,1.4429686040317304,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k2/labels_Mouse_Thymus3.csv,-0.08091059327125547,-0.04045529663562775,-868.3752952280072,0.30751809862182644,,,
independent,Mouse_Thymus3,3,4646,128,0.2839518785476684,0.6419759392738342,2607,1461.1941804627052,2.3323481057388578,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k3/labels_Mouse_Thymus3.csv,0.2555913031101227,0.6277956515550613,919.5607309572038,2.6525739656826546,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k3/labels_Mouse_Thymus3.csv,-0.02836057543754572,-0.014180287718772888,-541.6334495055014,0.3202258599437968,,,
independent,Mouse_Thymus3,4,4646,128,0.2349567413330078,0.6174783706665039,2607,1122.5812825620844,2.335847370877627,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k4/labels_Mouse_Thymus3.csv,0.1927026659250259,0.596351332962513,736.6179904163685,2.4638327154109634,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k4/labels_Mouse_Thymus3.csv,-0.0422540754079819,-0.021127037703990936,-385.96329214571597,0.12798534453333632,,,
independent,Mouse_Thymus3,5,4646,128,0.2208301573991775,0.6104150786995888,2607,940.265455678054,2.188748877387759,4646,,,,0,raw_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/raw_embedding/clustering/independent_k5/labels_Mouse_Thymus3.csv,0.1879551261663437,0.5939775630831718,621.9209470406587,2.3669743698256207,,,,0,standardized_embedding,/home/hujinlan/spa_mo_model/results/mouse_thymus_preprocessing_comparison/standardized_embedding/clustering/independent_k5/labels_Mouse_Thymus3.csv,-0.03287503123283381,-0.01643751561641693,-318.3445086373953,0.1782254924378619,,,
