mode,scope,k,n_iter,n_steps,inertia,labels_cache,centers_cache
independent,section2,8,3,265,39528904.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k8.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k8_centers.npy
independent,section2,9,3,203,38538832.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k9.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k9_centers.npy
independent,section2,10,2,196,37247992.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k10.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k10_centers.npy
independent,section2,11,2,174,36543356.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k11.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k11_centers.npy
independent,section2,12,2,163,35854260.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k12.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k12_centers.npy
independent,section2,13,2,196,34823104.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k13.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k13_centers.npy
independent,section2,14,3,238,34033072.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k14.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k14_centers.npy
independent,section2,15,2,196,33629856.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k15.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k15_centers.npy
independent,section2,16,2,196,32868468.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k16.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k16_centers.npy
independent,section2,17,2,196,31963394.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k17.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k17_centers.npy
independent,section2,18,3,199,31680306.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k18.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k18_centers.npy
independent,section2,19,2,196,31045438.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k19.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k19_centers.npy
independent,section2,20,3,262,30801458.0,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k20.npy,/home/hujinlan/spa_mo_model/results/spatch_preprocessing_comparison/raw_embedding/_label_cache/independent_section2_k20_centers.npy
