mode,scope,k,label,n_labeled,n_label_classes,ari,nmi,homogeneity,completeness,v_measure,label_asw,label_asw_scaled,label_asw_n_obs,metric_space
joint,combined,5,codex_coarse_label,665399,10,0.14569829546090057,0.1457676689579443,0.14434075740419922,0.14722307427406903,0.1457676689579443,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
joint,combined,6,cell_type_common,956139,16,0.24366987144891067,0.34052571945223387,0.35678690541858676,0.3256821853926399,0.34052571945223387,0.023637020960450172,0.5118185104802251,10000,raw_embedding
joint,combined,6,spatial_cluster,344594,8,0.30593845734368513,0.4144701821775404,0.3777543153601859,0.4590916378333946,0.4144701821775404,0.060927629470825195,0.5304638147354126,10000,raw_embedding
joint,combined,6,codex_coarse_label,665399,10,0.10631362574571868,0.14246177788703887,0.14797269069922406,0.13734660975804716,0.14246177788703887,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
joint,combined,7,cell_type_common,956139,16,0.24470919120992765,0.34055557910212436,0.3742209267132507,0.3124474453573154,0.34055557910212436,0.023637020960450172,0.5118185104802251,10000,raw_embedding
joint,combined,7,spatial_cluster,344594,8,0.30035417799232467,0.41286003081753336,0.3944347490194203,0.433091070390038,0.4128600308175333,0.060927629470825195,0.5304638147354126,10000,raw_embedding
joint,combined,7,codex_coarse_label,665399,10,0.0973928097413264,0.13802107343268882,0.15009396208621692,0.12774577337110302,0.13802107343268882,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
joint,combined,8,cell_type_common,956139,16,0.2454580759608234,0.3518521991708559,0.3986124869150355,0.3149107626646827,0.3518521991708559,0.023637020960450172,0.5118185104802251,10000,raw_embedding
joint,combined,8,spatial_cluster,344594,8,0.2543899586382127,0.3798129371484743,0.3704655089458261,0.3896442758428035,0.37981293714847425,0.060927629470825195,0.5304638147354126,10000,raw_embedding
joint,combined,8,codex_coarse_label,665399,10,0.09833537358083594,0.12797140963178993,0.14325322977443597,0.11563573959278756,0.12797140963178993,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
joint,combined,9,cell_type_common,956139,16,0.19366739056544738,0.32516281281100173,0.3838558810227627,0.28203808460804214,0.32516281281100173,0.023637020960450172,0.5118185104802251,10000,raw_embedding
joint,combined,9,spatial_cluster,344594,8,0.2799692803847958,0.4125669743801098,0.419547588029089,0.4058148519151818,0.4125669743801098,0.060927629470825195,0.5304638147354126,10000,raw_embedding
joint,combined,9,codex_coarse_label,665399,10,0.08385652938922833,0.1378843822331868,0.16041379896473806,0.12090395092131398,0.13788438223318678,-0.007479234132915735,0.49626038293354213,10000,raw_embedding
joint,combined,10,cell_type_common,956139,16,0.2144407366604429,0.3186803716974463,0.38099162039752266,0.2738862291801767,0.3186803716974463,0.023637020960450172,0.5118185104802251,10000,raw_embedding
