section,spot_index,obs_name,cluster,stage
Mouse_Thymus3,207,53_20,8,Mouse_Thymus3
Mouse_Thymus3,208,116_38,8,Mouse_Thymus3
Mouse_Thymus3,209,21_57,1,Mouse_Thymus3
Mouse_Thymus3,210,91_27,6,Mouse_Thymus3
Mouse_Thymus3,211,33_37,1,Mouse_Thymus3
Mouse_Thymus3,212,116_52,0,Mouse_Thymus3
Mouse_Thymus3,213,40_36,6,Mouse_Thymus3
Mouse_Thymus3,214,75_10,1,Mouse_Thymus3
Mouse_Thymus3,215,87_36,1,Mouse_Thymus3
Mouse_Thymus3,216,84_34,1,Mouse_Thymus3
Mouse_Thymus3,217,62_5,4,Mouse_Thymus3
Mouse_Thymus3,218,100_22,1,Mouse_Thymus3
Mouse_Thymus3,219,76_8,1,Mouse_Thymus3
Mouse_Thymus3,220,92_48,1,Mouse_Thymus3
Mouse_Thymus3,221,98_53,1,Mouse_Thymus3
Mouse_Thymus3,222,97_22,0,Mouse_Thymus3
Mouse_Thymus3,223,99_37,0,Mouse_Thymus3
Mouse_Thymus3,224,92_11,1,Mouse_Thymus3
Mouse_Thymus3,225,37_54,5,Mouse_Thymus3
Mouse_Thymus3,226,60_22,0,Mouse_Thymus3
Mouse_Thymus3,227,118_47,5,Mouse_Thymus3
Mouse_Thymus3,228,88_27,6,Mouse_Thymus3
Mouse_Thymus3,229,106_49,5,Mouse_Thymus3
Mouse_Thymus3,230,29_49,0,Mouse_Thymus3
Mouse_Thymus3,231,123_59,5,Mouse_Thymus3
Mouse_Thymus3,232,80_23,0,Mouse_Thymus3
Mouse_Thymus3,233,112_50,8,Mouse_Thymus3
Mouse_Thymus3,234,41_48,0,Mouse_Thymus3
Mouse_Thymus3,235,85_58,9,Mouse_Thymus3
Mouse_Thymus3,236,48_18,1,Mouse_Thymus3
Mouse_Thymus3,237,28_39,1,Mouse_Thymus3
Mouse_Thymus3,238,53_14,8,Mouse_Thymus3
Mouse_Thymus3,239,32_42,8,Mouse_Thymus3
Mouse_Thymus3,240,106_52,5,Mouse_Thymus3
Mouse_Thymus3,241,33_30,6,Mouse_Thymus3
Mouse_Thymus3,242,50_43,1,Mouse_Thymus3
Mouse_Thymus3,243,65_38,1,Mouse_Thymus3
Mouse_Thymus3,244,65_16,5,Mouse_Thymus3
Mouse_Thymus3,245,68_32,6,Mouse_Thymus3
Mouse_Thymus3,246,111_31,9,Mouse_Thymus3
Mouse_Thymus3,247,13_48,0,Mouse_Thymus3
Mouse_Thymus3,248,50_20,1,Mouse_Thymus3
Mouse_Thymus3,249,105_44,0,Mouse_Thymus3
Mouse_Thymus3,250,47_26,8,Mouse_Thymus3
Mouse_Thymus3,251,40_19,5,Mouse_Thymus3
Mouse_Thymus3,252,27_30,5,Mouse_Thymus3
Mouse_Thymus3,253,58_17,0,Mouse_Thymus3
Mouse_Thymus3,254,22_49,0,Mouse_Thymus3
Mouse_Thymus3,255,93_15,1,Mouse_Thymus3
Mouse_Thymus3,256,118_54,0,Mouse_Thymus3
Mouse_Thymus3,257,98_17,1,Mouse_Thymus3
Mouse_Thymus3,258,94_58,5,Mouse_Thymus3
Mouse_Thymus3,259,42_44,0,Mouse_Thymus3
Mouse_Thymus3,260,115_46,0,Mouse_Thymus3
Mouse_Thymus3,261,37_46,0,Mouse_Thymus3
Mouse_Thymus3,262,87_56,1,Mouse_Thymus3
Mouse_Thymus3,263,47_18,8,Mouse_Thymus3
Mouse_Thymus3,264,81_48,9,Mouse_Thymus3
Mouse_Thymus3,265,59_42,1,Mouse_Thymus3
Mouse_Thymus3,266,123_69,5,Mouse_Thymus3
Mouse_Thymus3,267,83_29,0,Mouse_Thymus3
Mouse_Thymus3,268,8_44,5,Mouse_Thymus3
Mouse_Thymus3,269,110_32,1,Mouse_Thymus3
Mouse_Thymus3,270,67_3,1,Mouse_Thymus3
Mouse_Thymus3,271,87_2,9,Mouse_Thymus3
Mouse_Thymus3,272,67_40,6,Mouse_Thymus3
Mouse_Thymus3,273,27_57,1,Mouse_Thymus3
Mouse_Thymus3,274,74_7,5,Mouse_Thymus3
